name,slug,description,icon,parent_slug,sort_order
Food & Dining,food-dining,Restaurants and food establishments,🍽️,,1
Hotels & Accommodation,hotels-accommodation,Lodging and accommodation,🏨,,2
Shopping,shopping,Retail stores and shopping,🛍️,,3
Health & Beauty,health-beauty,Health and beauty services,💄,,4
Services,services,Professional services,💼,,5
Entertainment & Nightlife,entertainment-nightlife,Entertainment venues,🎭,,6
Transportation,transportation,Transport and travel services,🚗,,7
Automotive,automotive,Car services and repairs,🔧,,8
Education,education,Educational institutions,🎓,,9
Tourism & Travel,tourism-travel,Travel and tourism services,🗺️,,10
