owner_email,name,slug,description,email,phone,website,address,city_name,country_code,postal_code,category_slug,plan,status,featured,verified
admin@listacross.eu,Café Central,cafe-central,Historic Viennese coffeehouse serving traditional Austrian coffee and pastries since 1876,info@cafecentral.wien,+431533376426,https://cafecentral.wien,Herrengasse 14,Vienna,AT,1010,cafes-coffee,local,active,true,true
admin@listacross.eu,Hotel Sacher,hotel-sacher,Luxury 5-star hotel in Vienna famous for its original Sachertorte,info@sacher.com,+4315145600,https://sacher.com,Philharmoniker Str. 4,Vienna,AT,1010,hotels,eu,active,true,true
admin@listacross.eu,Restaurant Steirereck,steirereck,Award-winning fine dining restaurant with modern Austrian cuisine,office@steirereck.at,+4317133168,https://steirereck.at,Am Heumarkt 2A,Vienna,AT,1030,fine-dining,country,active,true,true
admin@listacross.eu,Salzburg Old Town Books,salzburg-books,Independent bookstore in UNESCO World Heritage old town,info@salzburgbooks.at,+43662841713,,Getreidegasse 39,Salzburg,AT,5020,bookstores,free,active,false,true
admin@listacross.eu,Restaurant De Kas,restaurant-de-kas,Greenhouse restaurant serving organic vegetables grown on-site,info@restaurantdekas.nl,+31206625562,https://restaurantdekas.nl,Kamerlingh Onneslaan 3,Amsterdam,NL,1097DH,restaurants,country,active,true,true
admin@listacross.eu,Anne Frank House,anne-frank-house,Historic museum and former hiding place of Anne Frank during WWII,info@annefrank.org,+31205567105,https://annefrank.org,Prinsengracht 263-267,Amsterdam,NL,1016GV,tourist-attractions,eu,active,true,true
admin@listacross.eu,Lloyd Hotel,lloyd-hotel,Design hotel with rooms by different artists and designers,info@lloydhotel.com,+31365471636,https://lloydhotel.com,Oostelijke Handelskade 34,Amsterdam,NL,1019BN,hotels,local,active,false,true
admin@listacross.eu,Café de Reiger,cafe-de-reiger,Traditional Amsterdam brown café with local atmosphere,info@cafedereiger.nl,+31206234426,,Nieuwe Leliestraat 34,Amsterdam,NL,1015SZ,bars-pubs,free,active,false,false
admin@listacross.eu,Le Bernardin,le-bernardin,Michelin 3-star seafood restaurant with refined French cuisine,reservation@le-bernardin.fr,+33145516547,https://lebernardine.com,17 Rue Troyon,Paris,FR,75017,fine-dining,eu,active,true,true
admin@listacross.eu,Hotel des Invalides,hotel-des-invalides,Boutique hotel near Napoleon's Tomb and military museums,info@hotel-des-invalides.fr,+33147053909,https://hotel-des-invalides.fr,129 Rue de Grenelle,Paris,FR,75007,hotels,country,active,true,true
