business_name,contact_email,phone_number,street_address,city_name,country_name,business_type,website_url,description
"Café Central Vienna","info@cafecentral.at","+43 1 533 3764","Herrengasse 14","Vienna","Austria","Coffee Shop","https://www.cafecentral.wien","Historic Viennese coffee house serving the finest coffee and pastries since 1876"
"Ristorante Da Giuseppe","giuseppe@dagiuseppe.it","+39 06 687 9696","Via dei Cappuccini 9","Rome","Italy","Italian Restaurant","https://www.dagiuseppe.it","Authentic Roman cuisine in the heart of the eternal city"
"Le Petit Bistro","contact@petitbistro.fr","+33 1 42 97 48 75","Rue de la Paix 15","Paris","France","French Restaurant","https://www.petitbistro.fr","Classic French bistro with traditional dishes and fine wines"
"Tech Solutions Berlin","info@techberlin.de","+49 30 123 4567","Friedrichstraße 95","Berlin","Germany","Technology","https://www.techberlin.de","Custom software development and IT consulting services"
"Barcelona Web Design","hello@bcnweb.es","+34 93 412 5678","Carrer de Balmes 123","Barcelona","Spain","Web Design","https://www.bcnweb.es","Professional web design and digital marketing agency"
"Amsterdam Bikes","info@amsterdambikes.nl","+31 20 623 1234","Prinsengracht 263","Amsterdam","Netherlands","Retail","https://www.amsterdambikes.nl","Premium bicycle sales and rental in the heart of Amsterdam"
"Prague Medical Center","info@praguemedical.cz","+420 224 234 567","Wenceslas Square 12","Prague","Czech Republic","Healthcare","https://www.praguemedical.cz","Comprehensive healthcare services with English-speaking staff"
"Dublin Law Firm","contact@dublinlaw.ie","+353 1 677 8899","Grafton Street 45","Dublin","Ireland","Professional Services","https://www.dublinlaw.ie","Expert legal services for businesses and individuals"
"Stockholm Spa & Wellness","booking@stockholmspa.se","+46 8 545 0123","Gamla Stan 8","Stockholm","Sweden","Beauty & Wellness","https://www.stockholmspa.se","Luxury spa and wellness center in historic Stockholm"
"Warsaw Auto Repair","service@warsawauto.pl","+48 22 123 4567","Marszałkowska 100","Warsaw","Poland","Automotive","https://www.warsawauto.pl","Professional automotive repair and maintenance services"
